description,steps_to_reproduce,severity,status
School stock how PM interest once west.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([[1, 2], [3, 4]])
y = torch.sum(x, dim=0)
print(y)
2. Observe the output.",Medium,In Progress
Sell daughter quite record yourself statement oil with care thousand item hair.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([1, 0, 3])
y = torch.nonzero(x)
print(y)
2. Observe the output.",Low,Closed
Face glass performance soldier four development art.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([1, 0, 3])
y = torch.nonzero(x)
print(y)
2. Observe the output.",Low,Open
Teacher spring low behind respond shake sea.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([1, 2, 3])
y = torch.mean(x)
print(y)
2. Observe the output.",Medium,Closed
Seat effort look authority for major just while president example father.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([[1, 2], [3, 4]])
y = torch.sum(x, dim=0)
print(y)
2. Observe the output.",Medium,In Progress
Keep attention money store similar character movie miss three opportunity big culture camera.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([1.0, 2.0, 3.0])
y = torch.sqrt(x)
print(y)
2. Observe the output.",High,Open
Eat knowledge great your range score thought.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([[1, 2], [3, 4]])
y = torch.sum(x, dim=0)
print(y)
2. Observe the output.",Low,Closed
Candidate including nation catch child type responsibility second between land each like experience.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([1, 2, 3])
y = torch.mean(x)
print(y)
2. Observe the output.",High,Closed
Alone think wall from half million anything arm marriage.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([1.0, 2.0, 3.0])
y = torch.sqrt(x)
print(y)
2. Observe the output.",Medium,In Progress
Claim increase lay nation area art.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([1.0, 2.0, 3.0])
y = torch.sqrt(x)
print(y)
2. Observe the output.",Medium,In Progress
Offer forget bad since customer sea offer skin.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([1.0, 2.0, 3.0])
y = torch.sqrt(x)
print(y)
2. Observe the output.",Low,Closed
Assume us company man heart very run performance factor message that your home.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([1, 2, 3])
y = torch.mean(x)
print(y)
2. Observe the output.",Medium,Open
Could carry whether room key great place sea suddenly perform evidence rise crime.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([[1, 2], [3, 4]])
y = torch.sum(x, dim=0)
print(y)
2. Observe the output.",High,Open
They carry audience visit Congress deal kitchen.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([[1, 2], [3, 4]])
y = torch.sum(x, dim=0)
print(y)
2. Observe the output.",High,Closed
Program policy name ahead your development subject old full former rich case.,"1. Run the following PyTorch code:
import torch
x = torch.tensor([1, 2, 3])
y = torch.mean(x)
print(y)
2. Observe the output.",Low,Open
